Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-09-26 11:11:26,0.10477787091366,33.37468999999517,19.29468999999517,14.08000000000000
2024-09-26 11:11:27,0.11557788944724,33.29863000000100,19.20863000000099,14.09000000000000
2024-09-26 11:11:29,0.14345637583893,34.19767799999536,20.04767799999536,14.15000000000000
2024-09-26 11:11:30,0.10243492863140,33.07690200000128,18.93690200000128,14.14000000000000
2024-09-26 11:11:31,0.10942760942761,34.12456799999985,19.98456799999985,14.14000000000000
2024-09-26 11:11:32,0.11535269709544,33.30962799999601,19.16962799999601,14.14000000000000
2024-09-26 11:11:33,0.13513513513514,35.01638000000035,20.90638000000035,14.11000000000000
2024-09-26 11:11:34,0.10747271200672,33.28587399999728,19.19587399999727,14.09000000000000
2024-09-26 11:11:35,0.11176470588235,34.14434099999751,20.06434099999751,14.08000000000000
2024-09-26 11:11:36,0.10981697171381,33.56671500000113,19.49671500000113,14.07000000000000
2024-09-26 11:11:37,0.10840336134454,33.88774999999994,19.80774999999994,14.08000000000000
2024-09-26 11:11:38,0.11557788944724,34.54760799999378,20.47760799999378,14.07000000000000
2024-09-26 11:11:39,0.10810810810811,34.46760499999538,20.34760499999538,14.12000000000000
2024-09-26 11:11:40,0.10915197313182,33.14751000000106,18.99751000000106,14.15000000000000
2024-09-26 11:11:41,0.14369256474520,34.59823099999805,20.42823099999805,14.17000000000000
2024-09-26 11:11:42,0.13746856663873,35.76096700000053,21.61096700000053,14.15000000000000
2024-09-26 11:11:43,0.11739864864865,34.76276199999614,20.57276199999615,14.19000000000000
2024-09-26 11:11:44,0.12805391743892,34.92310300000099,20.92310300000099,14.00000000000000
2024-09-26 11:11:45,0.12151898734177,34.28172800000495,20.26172800000495,14.02000000000000
2024-09-26 11:11:47,0.09866220735786,32.92498400000302,18.84498400000302,14.08000000000000
2024-09-26 11:11:48,0.12562814070352,35.29889399999723,21.10889399999724,14.19000000000000
2024-09-26 11:11:49,0.09882747068677,33.35986799999984,19.03986799999984,14.32000000000000
2024-09-26 11:11:50,0.10570469798658,34.02446799999423,19.69446799999423,14.33000000000000
2024-09-26 11:11:51,0.10033444816054,33.25070800000103,18.90070800000103,14.35000000000000
2024-09-26 11:11:52,0.10953177257525,33.95613600000274,19.71613600000273,14.24000000000000
2024-09-26 11:11:53,0.11705685618729,33.32650900000270,19.09650900000270,14.23000000000000
2024-09-26 11:11:54,0.10944026733500,33.83820599999308,19.58820599999308,14.25000000000000
2024-09-26 11:11:55,0.05532271584241,27.76013899999409,13.49013899999409,14.27000000000000
